Delivery_Mode,Count,Avg_Total_Time,Avg_Waiting_Time,Avg_Service_Time,Avg_Distance
Direct,60,54.143917490475886,48.94216990790369,5.201747582572181,4.002184478215225
Distribution Center,43,57.741341825174594,46.16781002144675,11.573531803727848,1.3140720591358708
